name,lat,lng,location_type,accessibility_metric,accessibility_category,accessibility_code,region
Block 207A (JURONG WEST),1.34704875545729,103.713655557468,HDB,92.9675,High Accessibility,1,JURONG WEST
Block 207A (PASIR RIS),1.36677071205182,103.96226669117,HDB,64.6961,Poor Accessibility,3,PASIR RIS
Block 208 (ANG MO KIO),1.36544495225352,103.842715047475,HDB,130.6734,High Accessibility,1,ANG MO KIO
Block 208 (JURONG WEST),1.34700367367083,103.714216413585,HDB,92.2913,High Accessibility,1,JURONG WEST
Block 208 (CLEMENTI),1.32239580834597,103.762120086045,HDB,93.8934,High Accessibility,1,CLEMENTI
Block 208 (PASIR RIS),1.36624948871012,103.961918466487,HDB,65.9047,Poor Accessibility,3,PASIR RIS
Block 208A (CLEMENTI),1.32200240528559,103.762448319374,HDB,98.4245,High Accessibility,1,CLEMENTI
Block 208B (CLEMENTI),1.32262137935118,103.762449443017,HDB,92.8793,High Accessibility,1,CLEMENTI
Block 208C (CLEMENTI),1.32193051221924,103.762204414115,HDB,98.3433,High Accessibility,1,CLEMENTI
Block 208D (CLEMENTI),1.32281068946531,103.762168354448,HDB,90.643,Moderate Accessibility,2,CLEMENTI
Block 209 (PASIR RIS),1.3665858569115,103.961549961964,HDB,66.7746,Poor Accessibility,3,PASIR RIS
Block 21 (BEDOK),1.32577850604228,103.922424710131,HDB,149.0832,High Accessibility,1,BEDOK
Block 21 (TOA PAYOH),1.33396073218978,103.880581831155,HDB,78.89,Moderate Accessibility,2,TOA PAYOH
Block 21 (TOA PAYOH),1.33544818177957,103.857495922448,HDB,87.2962,Moderate Accessibility,2,TOA PAYOH
Block 21 (WOODLANDS),1.44383165244262,103.777210383669,HDB,58.0302,Poor Accessibility,3,WOODLANDS
Block 21 (PASIR RIS),1.38106575885483,103.943691717949,HDB,62.6466,Poor Accessibility,3,PASIR RIS
Block 21 (JURONG EAST),1.32368064923943,103.739156156511,HDB,69.3206,Poor Accessibility,3,JURONG EAST
Block 21 (BUKIT MERAH),1.27663152283713,103.820897112137,HDB,102.1853,High Accessibility,1,BUKIT MERAH
Block 21A (BEDOK),1.32647355462418,103.922283785551,HDB,148.136,High Accessibility,1,BEDOK
Block 21A (BUKIT MERAH),1.27674566544456,103.821363509572,HDB,103.4134,High Accessibility,1,BUKIT MERAH
Block 21A (JURONG EAST),1.32363804522286,103.73973079192,HDB,70.1113,Poor Accessibility,3,JURONG EAST
Block 210 (JURONG WEST),1.34764592847862,103.7129331836,HDB,91.189,Moderate Accessibility,2,JURONG WEST
Block 210 (TOA PAYOH),1.3402610461881,103.854395758866,HDB,104.4805,High Accessibility,1,TOA PAYOH
Block 210 (WOODLANDS),1.44620708744186,103.7736803529,HDB,47.5893,Poor Accessibility,3,WOODLANDS
Block 210 (PASIR RIS),1.36703127928147,103.961627543415,HDB,66.3269,Poor Accessibility,3,PASIR RIS
Block 210A (JURONG WEST),1.34823567411386,103.713244029043,HDB,88.1997,Moderate Accessibility,2,JURONG WEST
Block 211 (ANG MO KIO),1.369196965617,103.841666636086,HDB,144.358,High Accessibility,1,ANG MO KIO
Block 211 (JURONG WEST),1.34824122465841,103.7140978842,HDB,87.264,Moderate Accessibility,2,JURONG WEST
Block 211 (WOODLANDS),1.44597940091533,103.773734644075,HDB,48.0795,Poor Accessibility,3,WOODLANDS
